         0.0000000000   4.9676946536e-08  
         4.1341373337   4.9600605889e-08  
         8.2682746673   4.9373685782e-08  
        12.4024120010   4.8997320750e-08  
        16.5365493346   4.8473389435e-08  
        20.6706866683   4.7804501908e-08  
        24.8048240019   4.6993982134e-08  
        28.9389613356   4.6045845779e-08  
        33.0730986692   4.4964773588e-08  
        37.2072360029   4.3756080623e-08  
        41.3413733366   4.2425681698e-08  
        45.4755106702   4.0980053370e-08  
        49.6096480039   3.9426192858e-08  
        53.7437853375   3.7771574325e-08  
        57.8779226712   3.6024102930e-08  
        62.0120600048   3.4192067095e-08  
        66.1461973385   3.2284089423e-08  
        70.2803346722   3.0309076684e-08  
        74.4144720058   2.8276169284e-08  
        78.5486093395   2.6194690631e-08  
        82.6827466731   2.4074096776e-08  
        86.8168840068   2.1923926686e-08  
        90.9510213404   1.9753753473e-08  
        95.0851586741   1.7573136874e-08  
        99.2192960077   1.5391577244e-08  
       103.3534333414   1.3218471285e-08  
       107.4875706751   1.1063069715e-08  
       111.6217080087   8.9344370244e-09  
       115.7558453424   6.8414134329e-09  
       119.8899826760   4.7925791371e-09  
       124.0241200097   2.7962209098e-09  
       128.1582573433   8.6030107448e-10  
       132.2923946770   -1.0075711417e-09  
       136.4265320107   -2.8001659025e-09  
       140.5606693443   -4.5106567472e-09  
       144.6948066780   -6.1326423276e-09  
       148.8289440116   -7.6601659716e-09  
       152.9630813453   -9.0877331583e-09  
       157.0972186789   -1.0410326998e-08  
       161.2313560126   -1.1623421816e-08  
       165.3654933462   -1.2722994929e-08  
       169.4996306799   -1.3705536721e-08  
       173.6337680136   -1.4568059091e-08  
       177.7679053472   -1.5308102371e-08  
       181.9020426809   -1.5923740782e-08  
       186.0361800145   -1.6413586479e-08  
       190.1703173482   -1.6776792256e-08  
       194.3044546818   -1.7013052919e-08  
       198.4385920155   -1.7122605383e-08  
       202.5727293492   -1.7106227468e-08  
       206.7068666828   -1.6965235398e-08  
       210.8410040165   -1.6701479960e-08  
       214.9751413501   -1.6317341302e-08  
       219.1092786838   -1.5815722299e-08  
       223.2434160174   -1.5200040439e-08  
       227.3775533511   -1.4474218165e-08  
       231.5116906847   -1.3642671562e-08  
       235.6458280184   -1.2710297328e-08  
       239.7799653521   -1.1682457909e-08  
       243.9141026857   -1.0564964737e-08  
       248.0482400194   -9.3640594582e-09  
       252.1823773530   -8.0863930893e-09  
       256.3165146867   -6.7390030088e-09  
       260.4506520203   -5.3292877264e-09  
       264.5847893540   -3.8649793877e-09  
       268.7189266876   -2.3541139910e-09  
       272.8530640213   -8.0499930992e-10  
       276.9872013550   7.7381946571e-10  
       281.1213386886   2.3735963246e-09  
       285.2554760223   3.9854231835e-09  
       289.3896133559   5.6002706829e-09  
       293.5237506896   7.2090308859e-09  
       297.6578880232   8.8025617065e-09  
       301.7920253569   1.0371732857e-08  
       305.9261626906   1.1907473072e-08  
       310.0603000242   1.3400818338e-08  
       314.1944373579   1.4842960810e-08  
       318.3285746915   1.6225298091e-08  
       322.4627120252   1.7539482508e-08  
       326.5968493588   1.8777470002e-08  
       330.7309866925   1.9931568239e-08  
       334.8651240261   2.0994483525e-08  
       338.9992613598   2.1959366115e-08  
       343.1333986935   2.2819853479e-08  
       347.2675360271   2.3570111144e-08  
       351.4016733608   2.4204870676e-08  
       355.5358106944   2.4719464447e-08  
       359.6699480281   2.5109856822e-08  
       363.8040853617   2.5372671439e-08  
       367.9382226954   2.5505214282e-08  
       372.0723600291   2.5505492329e-08  
       376.2064973627   2.5372227537e-08  
       380.3406346964   2.5104866031e-08  
       384.4747720300   2.4703582392e-08  
       388.6089093637   2.4169278983e-08  
       392.7430466973   2.3503580339e-08  
       396.8771840310   2.2708822680e-08  
       401.0113213646   2.1788038651e-08  
       405.1454586983   2.0744937476e-08  
       409.2795960320   1.9583880735e-08  
       413.4137333656   1.8309854005e-08  
       417.5478706993   1.6928434695e-08  
       421.6820080329   1.5445756382e-08  
       425.8161453666   1.3868470045e-08  
       429.9502827002   1.2203702550e-08  
       434.0844200339   1.0459012822e-08  
       438.2185573676   8.6423460873e-09  
       442.3526947012   6.7619866343e-09  
       446.4868320349   4.8265094952e-09  
       450.6209693685   2.8447314614e-09  
       454.7551067022   8.2566181344e-10  
       458.8892440358   -1.2215468493e-09  
       463.0233813695   -3.2876473219e-09  
       467.1575187031   -5.3633457198e-09  
       471.2916560368   -7.4393483237e-09  
       475.4257933705   -9.5064070780e-09  
       479.5599307041   -1.1555363506e-08  
       483.6940680378   -1.3577190842e-08  
       487.8282053714   -1.5563034203e-08  
       491.9623427051   -1.7504248684e-08  
       496.0964800387   -1.9392435263e-08  
       500.2306173724   -2.1219474467e-08  
       504.3647547060   -2.2977557736e-08  
       508.4988920397   -2.4659216479e-08  
       512.6330293734   -2.6257348842e-08  
       516.7671667070   -2.7765244193e-08  
       520.9013040407   -2.9176605403e-08  
       525.0354413743   -3.0485568966e-08  
       529.1695787080   -3.1686723043e-08  
       533.3037160416   -3.2775123508e-08  
       537.4378533753   -3.3746308093e-08  
       541.5719907090   -3.4596308714e-08  
       545.7061280426   -3.5321662078e-08  
       549.8402653763   -3.5919418646e-08  
       553.9744027099   -3.6387150042e-08  
       558.1085400436   -3.6722954978e-08  
       562.2426773772   -3.6925463763e-08  
       566.3768147109   -3.6993841436e-08  
       570.5109520445   -3.6927789577e-08  
       574.6450893782   -3.6727546819e-08  
       578.7792267119   -3.6393888066e-08  
       582.9133640455   -3.5928122422e-08  
       587.0475013792   -3.5332089811e-08  
