    0.0000000000e+00	   -2.2097000000e+05	    2.7061020321e-11	    2.2097000000e+05
    7.6109000000e-06	   -1.6198507294e+05	    9.7161042827e+04	    1.8889000000e+05
    1.5222000000e-05	   -9.0498755000e+04	    1.0753733232e+05	    1.4055000000e+05
    2.2833000000e-05	   -5.2669514573e+04	    9.2529904002e+04	    1.0647000000e+05
    3.0444000000e-05	   -3.3617649561e+04	    7.7263194588e+04	    8.4260000000e+04
    3.8055000000e-05	   -2.3227950988e+04	    6.5214862393e+04	    6.9228000000e+04
    4.5666000000e-05	   -1.7079108192e+04	    5.5951354437e+04	    5.8500000000e+04
    5.3277000000e-05	   -1.3269022067e+04	    4.8768081102e+04	    5.0541000000e+04
    6.0888000000e-05	   -1.0757073850e+04	    4.3181296451e+04	    4.4501000000e+04
    6.8499000000e-05	   -8.9800059373e+03	    3.8709025593e+04	    3.9737000000e+04
    7.6109000000e-05	   -7.6844463689e+03	    3.5037211419e+04	    3.5870000000e+04
    8.3720000000e-05	   -6.7250440433e+03	    3.1964209338e+04	    3.2664000000e+04
    9.1331000000e-05	   -6.0132293680e+03	    2.9365655068e+04	    2.9975000000e+04
    9.8942000000e-05	   -5.4726838428e+03	    2.7149919844e+04	    2.7696000000e+04
    1.0655000000e-04	   -5.0496410198e+03	    2.5233705268e+04	    2.5734000000e+04
    1.1416000000e-04	   -4.7284966716e+03	    2.3549983423e+04	    2.4020000000e+04
    1.2178000000e-04	   -4.4976006200e+03	    2.2075493871e+04	    2.2529000000e+04
    1.2939000000e-04	   -4.3177644607e+03	    2.0787310337e+04	    2.1231000000e+04
    1.3700000000e-04	   -4.1625067780e+03	    1.9631560338e+04	    2.0068000000e+04
    1.4461000000e-04	   -4.0483543182e+03	    1.8567790480e+04	    1.9004000000e+04
    1.5222000000e-04	   -3.9877181567e+03	    1.7589638993e+04	    1.8036000000e+04
    1.5983000000e-04	   -3.9811876491e+03	    1.6691786750e+04	    1.7160000000e+04
    1.6744000000e-04	   -4.0287583763e+03	    1.5864442314e+04	    1.6368000000e+04
    1.7505000000e-04	   -4.1466754607e+03	    1.5108274939e+04	    1.5667000000e+04
    1.8266000000e-04	   -4.3339694214e+03	    1.4454231528e+04	    1.5090000000e+04
